_id,ano,volume,numero,titulo,autores,Citações
68a8cad06a09251fb721014d,2025,24,1,A Flexible UHF RFID Respiratory Sensor,"['Araujo, Jéssyca I. L.', 'Serres, Georgina K. F.', 'Genovesi, Simone', 'Santos, Danilo F. S.', 'serres, alexandre jean René']",1
68a8cad36a09251fb721014e,2025,24,1,Proposition for Path Loss Prediction Models with the Inclusion of Altitude Parameter and Optimization Through Evolutionary Algorithms,"['Jorge Júnior, Evandro M.', 'Veiga, Antônio C. P.']",0
68a8cad66a09251fb721014f,2025,24,1,A 1D-FDM Transmission Line Model for Partial Discharge Current Simulations Validated Against Needle-Plate HVDC Laboratory Experiments: Calculations of Ionized Air Conductivity,"['Oliveira, Rodrigo M. S. de', 'Lopes, Nathan M.', 'Nascimento, Júlio A. S. do']",0
68a8cad86a09251fb7210150,2025,24,1,Assessment of Planar Transmission Line with Stub for Measuring Water Content in Power Transformer Oil,"['Fonseca, Daniel A. B.', 'Costa, Luís G. da S.', 'Cantarino, Wesley M.', 'Vitor, Ulysses R. C.']",0
68a8cada6a09251fb7210151,2025,24,1,Space-fed Array Variations of E-shape and U-slot cut Rectangular Microstrip Antennas using Modified Feed for Gain Enhancement,"['Deshmukh, Amit A.', 'Parvez, Adil', 'Chavali, Venkata A. P.']",0
68a8cadb6a09251fb7210152,2025,24,1,Analysis of a D-Shaped Photonic Crystal Fiber Sensor with Multiple Conducting Layers,"['Romeiro, Amanda F.', 'Cardoso, Markos P.', 'Miranda, Caua C.', 'Silva, Anderson O.', 'Costa, João C. W. A.', 'Giraldi, M. Thereza R.', 'Santos, Jose L.', 'Baptista, Jose M.', 'Guerreiro, Ariel']",4
68a8cadd6a09251fb7210153,2025,24,1,Choosing Clutter Heights in ITU-R P.1812 Recommendation for LoRaWAN Link Budget,"['Duarte, Bryan da S.', 'Dias, Maurício H. C.']",0
68a8cae46a09251fb7210154,2025,24,1,A reflectarray Using a Dielectric Discretized Concave Mirror Based on Electromagnetic Band Gap,"['Dip, Gustavo Maciulis', 'Correra, Fatima Salete']",0
68a8cae76a09251fb7210155,2025,24,1,Systematic Literature Review of the Use of Computational Intelligence in the Routing and Spectrum Assignment Problem in Elastic Optical Networks,"['Carvalho, Renan V. B.', 'Dinarte, Henrique A.', 'Almeida Jr., Raul C.', 'Bastos-Filho, Carmelo J. A.']",0
68a8cae96a09251fb7210156,2025,24,1,Designing an Advanced Biosensor for Rapid Analysis and Detection of Blood Components,"['Kebaili, Farida.', 'Harhouz, Ahlam.', 'Hocini, Abdesselam.']",2
68a8cf82987b56da45350d4b,2025,24,2,Broadband High-Selectivity Stacked Filtering Antenna with Multiple Radiation Nulls,"['Gao, Shuai', 'Wang, Zhongbao', 'Liu, Hongmei', 'Fang, Shaojun']",1
68a8cf84987b56da45350d4c,2025,24,2,Generation and Analysis of Fractional Bessel-Gauss Beams Matrices via Holographic Techniques,"['Reis, George B.', 'Gesualdi, Marcos R. R.']",0
68a8cf86987b56da45350d4d,2025,24,2,Low-Cost CSRR-based Microwave Sensor for Evaluating Water Quality to Prevent Unwanted Sugar Contamination,"['Sousa, Bruno Matias de', 'Duarte Júnior, José Garibaldi', 'Silva Neto, Valdemir Praxedes da']",0
68a8cf88987b56da45350d4e,2025,24,2,A Compact Meander-Bridge Electromagnetic Band-Gap Structure for Suppressing Simultaneous Switching Noise,"['dalcin, jean c. b.', 'bonfim, marlio']",2
